,Iteration,Time,Fitness,Temperature,max_iters
115,115,0.01770855799999982,26.0,0.05,2500
116,116,0.017789769999999816,26.0,0.05,2500
117,117,0.01786481300000009,26.0,0.05,2500
118,118,0.01793587799999985,26.0,0.05,2500
119,119,0.018006788000000107,26.0,0.05,2500
120,120,0.018075881999999766,26.0,0.05,2500
121,121,0.018214829999999793,26.0,0.05,2500
122,122,0.018328926000000134,26.0,0.05,2500
123,123,0.01839995899999991,26.0,0.05,2500
124,124,0.018485323000000164,26.0,0.05,2500
125,125,0.018562838999999887,26.0,0.05,2500
126,126,0.01867383899999986,26.0,0.05,2500
127,127,0.01881571400000004,26.0,0.05,2500
128,128,0.018892724000000083,26.0,0.05,2500
129,129,0.018968940000000156,26.0,0.05,2500
130,130,0.019041414999999784,26.0,0.05,2500
131,131,0.019112116000000068,26.0,0.05,2500
132,132,0.019204549999999987,26.0,0.05,2500
133,133,0.019280353000000083,26.0,0.05,2500
134,134,0.019433562999999765,26.0,0.05,2500
135,135,0.019521829999999962,26.0,0.05,2500
136,136,0.01963334800000016,26.0,0.05,2500
137,137,0.01970298200000009,26.0,0.05,2500
138,138,0.019771657999999803,26.0,0.05,2500
139,139,0.019843309999999725,26.0,0.05,2500
140,140,0.019914674999999882,26.0,0.05,2500
141,141,0.019984179000000157,26.0,0.05,2500
142,142,0.020053712999999806,26.0,0.05,2500
143,143,0.020123072000000075,26.0,0.05,2500
144,144,0.020237108999999975,26.0,0.05,2500
145,145,0.02030747299999991,26.0,0.05,2500
146,146,0.02037879000000009,26.0,0.05,2500
147,147,0.020448453999999838,26.0,0.05,2500
148,148,0.020519768999999854,26.0,0.05,2500
149,149,0.02059000099999997,26.0,0.05,2500
150,150,0.020659927000000078,26.0,0.05,2500
151,151,0.02073022300000016,26.0,0.05,2500
152,152,0.020801674999999964,26.0,0.05,2500
153,153,0.020872058999999776,26.0,0.05,2500
154,154,0.02094100600000015,26.0,0.05,2500
155,155,0.021013557999999932,26.0,0.05,2500
156,156,0.021084501999999894,26.0,0.05,2500
157,157,0.02119855699999995,26.0,0.05,2500
158,158,0.02126988799999996,26.0,0.05,2500
159,159,0.02134066499999987,26.0,0.05,2500
160,160,0.021411872999999915,26.0,0.05,2500
161,161,0.02148277700000012,26.0,0.05,2500
162,162,0.021554952999999877,26.0,0.05,2500
163,163,0.021625379000000056,26.0,0.05,2500
164,164,0.021694324999999903,26.0,0.05,2500
165,165,0.02176449800000002,26.0,0.05,2500
166,166,0.02183542499999991,26.0,0.05,2500
167,167,0.021906103000000066,26.0,0.05,2500
168,168,0.021975843999999967,26.0,0.05,2500
169,169,0.02209006999999996,26.0,0.05,2500
170,170,0.0221611020000001,26.0,0.05,2500
171,171,0.022231360000000144,26.0,0.05,2500
172,172,0.02230291799999984,26.0,0.05,2500
173,173,0.02242053499999974,26.0,0.05,2500
174,174,0.022492472000000152,26.0,0.05,2500
175,175,0.022564908000000106,26.0,0.05,2500
176,176,0.02265095100000014,26.0,0.05,2500
177,177,0.022718374999999735,26.0,0.05,2500
178,178,0.022784418999999723,26.0,0.05,2500
179,179,0.022854872999999998,26.0,0.05,2500
180,180,0.022922537999999992,26.0,0.05,2500
181,181,0.023034422999999915,26.0,0.05,2500
182,182,0.02310289600000015,26.0,0.05,2500
183,183,0.023169197999999724,26.0,0.05,2500
184,184,0.023264133000000076,26.0,0.05,2500
185,185,0.023348899000000145,26.0,0.05,2500
186,186,0.02341627199999996,26.0,0.05,2500
187,187,0.023482996999999894,26.0,0.05,2500
188,188,0.023550386999999784,26.0,0.05,2500
189,189,0.02361815700000003,26.0,0.05,2500
190,190,0.02368648300000009,26.0,0.05,2500
191,191,0.023800344999999723,26.0,0.05,2500
192,192,0.02395426299999981,26.0,0.05,2500
193,193,0.024069352999999793,26.0,0.05,2500
194,194,0.024177788999999894,26.0,0.05,2500
195,195,0.024246057000000043,26.0,0.05,2500
196,196,0.024379863000000057,26.0,0.05,2500
197,197,0.024553892000000133,26.0,0.05,2500
198,198,0.02479264300000006,26.0,0.05,2500
199,199,0.025041972999999995,26.0,0.05,2500
200,200,0.02527850900000006,26.0,0.05,2500
201,201,0.025477061000000134,26.0,0.05,2500
202,202,0.02567202799999979,26.0,0.05,2500
203,203,0.026002865000000153,26.0,0.05,2500
204,204,0.026197761000000153,26.0,0.05,2500
205,205,0.02629904500000002,26.0,0.05,2500
206,206,0.026475440000000017,26.0,0.05,2500
207,207,0.02656904399999993,26.0,0.05,2500
208,208,0.02666279799999982,26.0,0.05,2500
209,209,0.02673580299999978,26.0,0.05,2500
210,210,0.02680968299999975,26.0,0.05,2500
211,211,0.026958393999999775,26.0,0.05,2500
212,212,0.027100497999999806,26.0,0.05,2500
213,213,0.027171282999999935,26.0,0.05,2500
214,214,0.027246552999999896,26.0,0.05,2500
215,215,0.027362146999999837,26.0,0.05,2500
216,216,0.027432253999999823,26.0,0.05,2500
217,217,0.027502672999999866,26.0,0.05,2500
218,218,0.02757254600000003,26.0,0.05,2500
219,219,0.027641599999999933,26.0,0.05,2500
220,220,0.027711269000000094,26.0,0.05,2500
221,221,0.02777788999999986,26.0,0.05,2500
222,222,0.027846991999999737,26.0,0.05,2500
223,223,0.027915768999999813,26.0,0.05,2500
224,224,0.02808951500000001,26.0,0.05,2500
225,225,0.028184797999999844,26.0,0.05,2500
226,226,0.028323100999999795,26.0,0.05,2500
227,227,0.028476732000000116,26.0,0.05,2500
228,228,0.028546958999999816,26.0,0.05,2500
229,229,0.028618527999999976,26.0,0.05,2500
230,230,0.02868910999999974,26.0,0.05,2500
231,231,0.028759033000000045,26.0,0.05,2500
232,232,0.02883051400000003,26.0,0.05,2500
233,233,0.02894473799999986,26.0,0.05,2500
234,234,0.029031787999999725,26.0,0.05,2500
235,235,0.029102841999999907,26.0,0.05,2500
236,236,0.02917124400000004,26.0,0.05,2500
237,237,0.02923946200000005,26.0,0.05,2500
238,238,0.029308002000000055,26.0,0.05,2500
239,239,0.029377166999999815,26.0,0.05,2500
240,240,0.029445399999999733,26.0,0.05,2500
241,241,0.029515119000000034,26.0,0.05,2500
242,242,0.029584353999999813,26.0,0.05,2500
243,243,0.02965334300000011,26.0,0.05,2500
244,244,0.029720592999999962,26.0,0.05,2500
245,245,0.029789784000000097,26.0,0.05,2500
246,246,0.02985869299999999,26.0,0.05,2500
247,247,0.02996744799999984,26.0,0.05,2500
248,248,0.030037023999999857,26.0,0.05,2500
249,249,0.030107399999999895,26.0,0.05,2500
250,250,0.030177812999999887,26.0,0.05,2500
251,251,0.03024766000000012,26.0,0.05,2500
252,252,0.030318025000000137,26.0,0.05,2500
253,253,0.030388857000000158,26.0,0.05,2500
254,254,0.03045983699999999,26.0,0.05,2500
255,255,0.030531465999999785,26.0,0.05,2500
256,256,0.03060206600000015,26.0,0.05,2500
257,257,0.03067573999999995,26.0,0.05,2500
258,258,0.030745709000000065,26.0,0.05,2500
259,259,0.03081691299999978,26.0,0.05,2500
260,260,0.030887787999999805,26.0,0.05,2500
261,261,0.030957354999999964,26.0,0.05,2500
262,262,0.031028282999999934,26.0,0.05,2500
263,263,0.031098143999999994,26.0,0.05,2500
264,264,0.03116892800000004,26.0,0.05,2500
265,265,0.03123955299999981,26.0,0.05,2500
266,266,0.031309244000000014,26.0,0.05,2500
267,267,0.03137846100000008,26.0,0.05,2500
268,268,0.03144804300000015,26.0,0.05,2500
269,269,0.03151862200000011,26.0,0.05,2500
270,270,0.03160400799999996,26.0,0.05,2500
271,271,0.03173640599999983,26.0,0.05,2500
272,272,0.03184323400000011,26.0,0.05,2500
273,273,0.03191457799999986,26.0,0.05,2500
274,274,0.032046225999999844,26.0,0.05,2500
275,275,0.032118736999999786,26.0,0.05,2500
276,276,0.03236948300000009,26.0,0.05,2500
277,277,0.03261328299999988,26.0,0.05,2500
278,278,0.03291420299999981,26.0,0.05,2500
279,279,0.03299778799999986,26.0,0.05,2500
280,280,0.033073083000000114,26.0,0.05,2500
281,281,0.033186853999999766,26.0,0.05,2500
282,282,0.033259847000000065,26.0,0.05,2500
283,283,0.033331412999999976,26.0,0.05,2500
284,284,0.03340309099999983,26.0,0.05,2500
285,285,0.033474162000000085,26.0,0.05,2500
286,286,0.033545090000000055,26.0,0.05,2500
287,287,0.03361552599999973,26.0,0.05,2500
288,288,0.03368598799999978,26.0,0.05,2500
289,289,0.03375543999999975,26.0,0.05,2500
290,290,0.033825642000000045,26.0,0.05,2500
291,291,0.03389589000000015,26.0,0.05,2500
292,292,0.033966280000000015,26.0,0.05,2500
293,293,0.03403953499999979,26.0,0.05,2500
294,294,0.03410872899999973,26.0,0.05,2500
295,295,0.034179286000000086,26.0,0.05,2500
296,296,0.034249556999999875,26.0,0.05,2500
297,297,0.03431875900000003,26.0,0.05,2500
298,298,0.03438812499999999,26.0,0.05,2500
299,299,0.03445745500000008,26.0,0.05,2500
300,300,0.03452609999999989,26.0,0.05,2500
301,301,0.034594591999999924,26.0,0.05,2500
302,302,0.03470316300000009,26.0,0.05,2500
303,303,0.03477274500000016,26.0,0.05,2500
304,304,0.03484341099999977,26.0,0.05,2500
305,305,0.03491337999999988,26.0,0.05,2500
306,306,0.03502271400000012,26.0,0.05,2500
307,307,0.035105607999999844,26.0,0.05,2500
308,308,0.03517912299999981,26.0,0.05,2500
309,309,0.03525178800000006,26.0,0.05,2500
310,310,0.03532251499999983,26.0,0.05,2500
311,311,0.035393559000000074,26.0,0.05,2500
312,312,0.03546406499999977,26.0,0.05,2500
313,313,0.03553464800000006,26.0,0.05,2500
314,314,0.03560612299999999,26.0,0.05,2500
315,315,0.03567753699999976,26.0,0.05,2500
316,316,0.03578616099999987,26.0,0.05,2500
317,317,0.03586688700000007,26.0,0.05,2500
