,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
20,0,555.0,0.18658077300000286,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",200,0.1,100
21,100,576.0,6.546801842999997,"[19, 14, 24, 20, 6, 12, 32, 30, 25, 30, 11, 34, 28, 17, 0, 2, 31, 11, 2, 27, 8, 18, 31, 15, 18, 21, 9, 22, 27, 19, 4, 26, 28, 33, 25]",200,0.1,100
22,0,555.0,0.17280312299999423,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",200,0.25,100
23,100,589.0,19.256140016999993,"[0, 12, 3, 20, 34, 24, 28, 14, 23, 2, 31, 21, 0, 4, 22, 33, 6, 29, 15, 1, 33, 30, 8, 17, 30, 27, 9, 23, 17, 32, 25, 18, 10, 14, 26]",200,0.25,100
24,0,555.0,0.17275972299999864,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",200,0.5,100
25,100,580.0,10.866411739,"[7, 21, 26, 18, 0, 5, 29, 2, 4, 17, 3, 12, 28, 20, 4, 33, 30, 27, 1, 8, 14, 13, 25, 10, 5, 16, 30, 5, 14, 34, 0, 29, 19, 12, 3]",200,0.5,100
26,0,555.0,0.16505229900000984,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",200,0.75,100
27,100,581.0,18.31582659300001,"[22, 1, 14, 10, 0, 31, 6, 18, 19, 28, 8, 20, 9, 26, 3, 0, 4, 32, 26, 9, 32, 13, 25, 33, 17, 33, 31, 21, 15, 5, 34, 30, 16, 24, 6]",200,0.75,100
28,0,555.0,0.1683326309999984,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",200,1.0,100
29,100,578.0,13.857243970999974,"[12, 33, 22, 6, 26, 12, 4, 16, 24, 19, 5, 8, 30, 7, 2, 25, 0, 12, 18, 29, 3, 32, 9, 3, 15, 31, 23, 8, 33, 1, 34, 20, 1, 25, 4]",200,1.0,100
30,0,555.0,0.266531198000024,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",300,0.1,100
