,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,0.00012738600000261613,2.0,10,2500,0
1,1,0.00520744800000017,2.0,10,2500,0
2,2,0.005238239000000533,2.0,10,2500,0
3,3,0.0052629990000028215,2.0,10,2500,0
4,4,0.0052938150000017,3.0,10,2500,0
5,5,0.005319183000004557,3.0,10,2500,0
6,6,0.005342248000005156,3.0,10,2500,0
7,7,0.005363934000001791,3.0,10,2500,0
8,8,0.005388170999999886,3.0,10,2500,0
9,9,0.005428176999998868,3.0,10,2500,0
10,10,0.005451845999999705,3.0,10,2500,0
11,11,0.005475789000001896,3.0,10,2500,0
12,12,0.005497730000001866,3.0,10,2500,0
13,13,0.005528707000003408,4.0,10,2500,0
14,14,0.005561214000003645,5.0,10,2500,0
15,15,0.005584992999999372,5.0,10,2500,0
16,16,0.005618809000004887,8.0,10,2500,0
17,17,0.005655027999999618,8.0,10,2500,0
18,18,0.005681578000000798,8.0,10,2500,0
19,19,0.0057070330000001945,8.0,10,2500,0
20,20,0.005730309000000489,8.0,10,2500,0
21,21,0.00575342300000159,8.0,10,2500,0
22,22,0.005778152000004866,8.0,10,2500,0
23,23,0.005802422999998669,8.0,10,2500,0
24,24,0.005827525000000833,8.0,10,2500,0
25,25,0.005852511000000504,8.0,10,2500,0
26,26,0.005875385000003064,8.0,10,2500,0
27,27,0.005901197000000025,8.0,10,2500,0
28,28,0.005925298000001078,8.0,10,2500,0
29,29,0.005955337999999699,8.0,10,2500,0
30,30,0.0059810230000039155,8.0,10,2500,0
31,31,0.0060058540000014204,8.0,10,2500,0
32,32,0.006031260000000316,8.0,10,2500,0
33,33,0.006057056000003058,8.0,10,2500,0
34,34,0.006082343999999296,8.0,10,2500,0
35,35,0.006107804000002659,8.0,10,2500,0
36,36,0.0061348500000022455,8.0,10,2500,0
37,37,0.00616203799999937,8.0,10,2500,0
38,38,0.006185988000005693,8.0,10,2500,0
39,39,0.0062164240000015525,8.0,10,2500,0
40,40,0.006241770000002589,8.0,10,2500,0
41,41,0.006266897000003269,8.0,10,2500,0
42,42,0.0062937920000010195,8.0,10,2500,0
43,43,0.006334823000003098,8.0,10,2500,0
44,44,0.006363106000002006,8.0,10,2500,0
45,45,0.006392314000002841,8.0,10,2500,0
46,46,0.006419845000003477,8.0,10,2500,0
47,47,0.006448073000001386,8.0,10,2500,0
48,48,0.006476186000000439,8.0,10,2500,0
49,49,0.006501300000003596,8.0,10,2500,0
50,50,0.006528653000003715,8.0,10,2500,0
51,51,0.0065564450000010766,8.0,10,2500,0
52,52,0.006581582999999114,8.0,10,2500,0
53,53,0.006609265000001585,8.0,10,2500,0
54,54,0.006639388000003521,8.0,10,2500,0
55,55,0.006675190999999359,8.0,10,2500,0
56,56,0.006702707000002306,8.0,10,2500,0
57,57,0.006732100000000685,8.0,10,2500,0
58,58,0.006758673000000215,8.0,10,2500,0
59,59,0.0067888770000053,8.0,10,2500,0
60,60,0.0068151210000024776,8.0,10,2500,0
61,61,0.0068421130000047015,8.0,10,2500,0
62,62,0.0068705760000042915,8.0,10,2500,0
63,63,0.006899220000001094,8.0,10,2500,0
64,64,0.006927944000004516,8.0,10,2500,0
65,65,0.006962156000000164,8.0,10,2500,0
66,66,0.007001453000000879,8.0,10,2500,0
67,67,0.007036257000002877,8.0,10,2500,0
68,68,0.007069041000001164,8.0,10,2500,0
69,69,0.007100360000002581,8.0,10,2500,0
70,70,0.007132267999999442,8.0,10,2500,0
71,71,0.007166060000002972,8.0,10,2500,0
