,Iteration,Time,Fitness,Temperature,max_iters
115,115,0.01956672699999995,26.0,0.05,2500
116,116,0.019640477999999906,26.0,0.05,2500
117,117,0.01971447000000004,26.0,0.05,2500
118,118,0.01980450300000003,26.0,0.05,2500
119,119,0.01987830199999996,26.0,0.05,2500
120,120,0.01995059500000007,26.0,0.05,2500
121,121,0.020066275000000022,26.0,0.05,2500
122,122,0.020182382,26.0,0.05,2500
123,123,0.02025584700000005,26.0,0.05,2500
124,124,0.02032576499999994,26.0,0.05,2500
125,125,0.020397336999999904,26.0,0.05,2500
126,126,0.02047029999999994,26.0,0.05,2500
127,127,0.020585955999999905,26.0,0.05,2500
128,128,0.020663262000000016,26.0,0.05,2500
129,129,0.020753983999999948,26.0,0.05,2500
130,130,0.02082118799999999,26.0,0.05,2500
131,131,0.020888140000000055,26.0,0.05,2500
132,132,0.020955673000000008,26.0,0.05,2500
133,133,0.021025330999999925,26.0,0.05,2500
134,134,0.02113856699999994,26.0,0.05,2500
135,135,0.021210284999999995,26.0,0.05,2500
136,136,0.021325730000000043,26.0,0.05,2500
137,137,0.021394045000000084,26.0,0.05,2500
138,138,0.021461809000000054,26.0,0.05,2500
139,139,0.021529947999999965,26.0,0.05,2500
140,140,0.021597394999999908,26.0,0.05,2500
141,141,0.02166572000000011,26.0,0.05,2500
142,142,0.021734359999999953,26.0,0.05,2500
143,143,0.021833806000000067,26.0,0.05,2500
144,144,0.021974914999999928,26.0,0.05,2500
145,145,0.02204142000000009,26.0,0.05,2500
146,146,0.02210779499999993,26.0,0.05,2500
147,147,0.02217210500000011,26.0,0.05,2500
148,148,0.02223867700000004,26.0,0.05,2500
149,149,0.022305224999999984,26.0,0.05,2500
150,150,0.02237169799999994,26.0,0.05,2500
151,151,0.02243873900000004,26.0,0.05,2500
152,152,0.02250609399999992,26.0,0.05,2500
153,153,0.022573858999999974,26.0,0.05,2500
154,154,0.022640782999999942,26.0,0.05,2500
155,155,0.02270738799999994,26.0,0.05,2500
