,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.003945585999999945,9.384,0.05,2500
1,1,0.012803595999999917,9.384,0.05,2500
2,2,0.017003623999999995,10.807,0.05,2500
3,3,0.019013538000000052,10.807,0.05,2500
4,4,0.020976338000000094,10.807,0.05,2500
5,5,0.022935659000000053,10.807,0.05,2500
6,6,0.02486224300000006,10.807,0.05,2500
7,7,0.02676709299999991,10.807,0.05,2500
8,8,0.028669521999999947,10.807,0.05,2500
9,9,0.030571015000000035,10.807,0.05,2500
10,10,0.034253751000000054,11.280000000000001,0.05,2500
11,11,0.038128123999999985,11.69,0.05,2500
12,12,0.04002400699999997,11.69,0.05,2500
13,13,0.04184380700000001,11.69,0.05,2500
14,14,0.04354949999999991,11.69,0.05,2500
15,15,0.04524985600000009,11.69,0.05,2500
16,16,0.04919011899999992,11.599,0.05,2500
17,17,0.051032514000000084,11.599,0.05,2500
18,18,0.05284188099999998,11.599,0.05,2500
19,19,0.05465719200000008,11.599,0.05,2500
20,20,0.05626786200000011,11.599,0.05,2500
21,21,0.057865813999999904,11.599,0.05,2500
22,22,0.059468652000000066,11.599,0.05,2500
23,23,0.06271568599999999,11.690999999999999,0.05,2500
24,24,0.06435139599999995,11.690999999999999,0.05,2500
25,25,0.06591698200000007,11.690999999999999,0.05,2500
26,26,0.06747729199999997,11.690999999999999,0.05,2500
27,27,0.06903212299999995,11.690999999999999,0.05,2500
28,28,0.07065937499999997,11.690999999999999,0.05,2500
29,29,0.07223645299999992,11.690999999999999,0.05,2500
30,30,0.07408128200000008,11.690999999999999,0.05,2500
31,31,0.07622726800000001,11.690999999999999,0.05,2500
32,32,0.07894260400000008,11.690999999999999,0.05,2500
33,33,0.08121859700000011,11.690999999999999,0.05,2500
34,34,0.0829050950000001,11.690999999999999,0.05,2500
35,35,0.084548391,11.690999999999999,0.05,2500
36,36,0.08783201699999998,11.69,0.05,2500
37,37,0.08958626500000011,11.69,0.05,2500
38,38,0.09118773400000002,11.69,0.05,2500
39,39,0.09274504600000011,11.69,0.05,2500
40,40,0.09442547199999995,11.69,0.05,2500
41,41,0.095986613,11.69,0.05,2500
42,42,0.09762009900000002,11.69,0.05,2500
43,43,0.09927122399999999,11.69,0.05,2500
44,44,0.10083008700000007,11.69,0.05,2500
45,45,0.10238889500000004,11.69,0.05,2500
46,46,0.10404620999999992,11.69,0.05,2500
47,47,0.1056024040000001,11.69,0.05,2500
48,48,0.10715841000000004,11.69,0.05,2500
49,49,0.10881618300000007,11.69,0.05,2500
50,50,0.11047039200000008,11.69,0.05,2500
51,51,0.11218335199999996,11.69,0.05,2500
52,52,0.11374650900000005,11.69,0.05,2500
53,53,0.11530476800000011,11.69,0.05,2500
54,54,0.11692714900000012,11.69,0.05,2500
55,55,0.11853032899999993,11.69,0.05,2500
56,56,0.12040570600000011,11.69,0.05,2500
57,57,0.12202609200000003,11.69,0.05,2500
58,58,0.123883784,11.69,0.05,2500
59,59,0.125553609,11.69,0.05,2500
60,60,0.12742417399999995,11.69,0.05,2500
61,61,0.12903390999999997,11.69,0.05,2500
62,62,0.13101467500000008,11.69,0.05,2500
63,63,0.1325997780000001,11.69,0.05,2500
64,64,0.13418576900000012,11.69,0.05,2500
65,65,0.135934891,11.69,0.05,2500
66,66,0.13752902599999994,11.69,0.05,2500
67,67,0.13942323,11.69,0.05,2500
68,68,0.1410162370000001,11.69,0.05,2500
69,69,0.14279242299999995,11.69,0.05,2500
70,70,0.145893171,11.690999999999999,0.05,2500
71,71,0.14896390900000012,11.69,0.05,2500
72,72,0.15101267000000007,11.69,0.05,2500
73,73,0.15432219000000003,11.69,0.05,2500
74,74,0.158294806,11.69,0.05,2500
75,75,0.16201324500000003,11.69,0.05,2500
76,76,0.164734771,11.69,0.05,2500
77,77,0.1668189040000001,11.69,0.05,2500
78,78,0.1687189899999999,11.69,0.05,2500
79,79,0.17081629200000004,11.69,0.05,2500
80,80,0.172940898,11.69,0.05,2500
81,81,0.17748410999999997,11.690999999999999,0.05,2500
82,82,0.18008403900000003,11.690999999999999,0.05,2500
83,83,0.18255928999999993,11.690999999999999,0.05,2500
84,84,0.1846121730000001,11.690999999999999,0.05,2500
85,85,0.18831978300000007,11.690999999999999,0.05,2500
86,86,0.1914181640000001,11.690999999999999,0.05,2500
87,87,0.19369585500000008,11.690999999999999,0.05,2500
88,88,0.19573136599999996,11.690999999999999,0.05,2500
89,89,0.19778239100000006,11.690999999999999,0.05,2500
90,90,0.19977278999999992,11.690999999999999,0.05,2500
91,91,0.20175554900000003,11.690999999999999,0.05,2500
92,92,0.2038971650000001,11.690999999999999,0.05,2500
93,93,0.20682723600000008,11.690999999999999,0.05,2500
94,94,0.21044428599999998,11.690999999999999,0.05,2500
95,95,0.21622214900000003,11.69,0.05,2500
96,96,0.21830388099999998,11.69,0.05,2500
97,97,0.22028332099999992,11.69,0.05,2500
98,98,0.22453563200000004,11.690999999999999,0.05,2500
99,99,0.2273486680000001,11.690999999999999,0.05,2500
100,100,0.22994097400000002,11.690999999999999,0.05,2500
101,101,0.232506954,11.690999999999999,0.05,2500
102,102,0.23465948599999997,11.690999999999999,0.05,2500
103,103,0.23698575099999997,11.690999999999999,0.05,2500
104,104,0.2391432040000001,11.690999999999999,0.05,2500
105,105,0.2414400240000001,11.690999999999999,0.05,2500
106,106,0.24347837399999994,11.690999999999999,0.05,2500
107,107,0.245440329,11.690999999999999,0.05,2500
108,108,0.24737000599999992,11.690999999999999,0.05,2500
109,109,0.249295437,11.690999999999999,0.05,2500
