,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
114,114,25.592052502999877,11.952,1000,0.1,25
115,115,27.180685869999934,11.952,1000,0.1,25
116,116,28.769511603999945,11.952,1000,0.1,25
117,117,30.392227007999963,11.952,1000,0.1,25
118,118,31.99745073300005,11.952,1000,0.1,25
119,119,33.62831798499997,11.952,1000,0.1,25
120,120,35.210283204999996,11.952,1000,0.1,25
121,121,1.5354234429998996,9.206,1000,0.25,25
122,122,3.160703999999896,11.952,1000,0.25,25
123,123,4.726661553999975,11.952,1000,0.25,25
124,124,6.331794046999903,11.952,1000,0.25,25
125,125,7.93806481799993,11.952,1000,0.25,25
126,126,9.531628430999945,11.952,1000,0.25,25
127,127,11.147315069999877,11.952,1000,0.25,25
128,128,12.717601957999932,11.952,1000,0.25,25
129,129,14.440972646999853,11.952,1000,0.25,25
130,130,16.039419841999916,11.952,1000,0.25,25
131,131,17.623750771999994,11.952,1000,0.25,25
132,132,19.233428388999982,11.952,1000,0.25,25
133,133,20.86863884699983,11.952,1000,0.25,25
134,134,22.487414461999833,11.952,1000,0.25,25
135,135,24.05111808499987,11.952,1000,0.25,25
136,136,25.591357932999927,11.952,1000,0.25,25
137,137,27.197097336999832,11.952,1000,0.25,25
138,138,28.856585083000027,11.952,1000,0.25,25
139,139,30.523577786000033,11.952,1000,0.25,25
140,140,32.14837747199999,11.952,1000,0.25,25
141,141,33.78560239599983,11.952,1000,0.25,25
142,142,35.426898448999964,11.952,1000,0.25,25
143,143,1.5717907659998218,9.206,1000,0.5,25
144,144,3.201589819999981,11.952,1000,0.5,25
145,145,4.828264122999826,11.952,1000,0.5,25
146,146,6.46267957699979,11.952,1000,0.5,25
147,147,8.070195759999933,11.952,1000,0.5,25
148,148,9.683217300999786,11.952,1000,0.5,25
149,149,11.304464096999936,11.952,1000,0.5,25
150,150,12.94417985799987,11.952,1000,0.5,25
151,151,14.57901073999983,11.952,1000,0.5,25
152,152,16.214162130999966,11.952,1000,0.5,25
153,153,17.841720726999938,11.952,1000,0.5,25
154,154,19.46251322099988,11.952,1000,0.5,25
155,155,21.07982810899989,11.952,1000,0.5,25
156,156,22.70586027499985,11.952,1000,0.5,25
157,157,24.333026566999933,11.952,1000,0.5,25
158,158,25.981741248999924,11.952,1000,0.5,25
159,159,27.6595010919998,11.952,1000,0.5,25
160,160,29.304822621999847,11.952,1000,0.5,25
161,161,30.93323290799981,11.952,1000,0.5,25
162,162,32.54425348399991,11.952,1000,0.5,25
163,163,34.164480970999875,11.952,1000,0.5,25
164,164,35.79313032899995,11.952,1000,0.5,25
165,165,1.56344303700007,9.206,1000,0.75,25
166,166,3.1705476859999635,11.952,1000,0.75,25
167,167,4.80278883699998,11.952,1000,0.75,25
168,168,6.444304010999986,11.952,1000,0.75,25
169,169,8.069811529000162,11.952,1000,0.75,25
170,170,9.654046992000076,11.952,1000,0.75,25
171,171,11.248657878000131,11.952,1000,0.75,25
172,172,12.823219695000034,11.952,1000,0.75,25
173,173,14.383381586000041,11.952,1000,0.75,25
174,174,15.98924218000002,11.952,1000,0.75,25
